0,1,2,3,4,5,6,7,8,9,10
5798.05,8518.21,13371.9,17134.2,20145.9,20936.2,19631.7,17016.6,13387.1,8853.33,5944.38
6764.95,10310.9,16365.0,21782.2,25260.4,26865.2,26392.3,21866.8,16984.3,10768.0,6736.31
6438.8,10241.9,16324.8,23231.3,27925.1,30156.7,27966.8,23248.9,17550.0,10485.8,6824.45
6105.27,9173.28,15011.0,21938.9,27558.4,29213.6,26687.4,22060.0,15489.8,9409.0,6205.52
5404.84,8433.41,13686.6,20254.3,25963.4,28736.5,26227.4,21295.7,14822.0,8963.82,5835.21
5260.36,8122.7,13165.5,20063.2,24082.7,28225.9,25160.7,20013.7,13770.1,8923.03,5409.56
5064.87,7438.45,12004.8,17959.4,22164.0,24154.0,22749.1,18551.3,12838.1,8096.81,5334.12
9187.88,15916.5,27632.8,40165.7,49808.5,53942.5,49586.5,40346.1,28105.4,16970.8,9962.12
12185.6,20655.0,36660.2,54485.7,69654.0,76355.6,70062.3,56723.8,36480.2,21568.4,12332.8
12969.7,22595.0,41492.6,64143.2,85405.0,94079.7,86484.9,65156.7,43500.1,24415.3,13386.2
13847.9,23999.0,45822.2,73232.6,98420.8,107682.0,98401.1,73149.1,48206.7,25602.7,13978.7
15874.5,29938.2,56185.4,88505.0,111762.0,127038.0,113767.0,87488.7,56939.8,31518.5,17457.9
19908.5,37975.4,70516.1,104605.0,132360.0,144610.0,133895.0,105660.0,70193.4,40765.1,20573.0
19335.1,36522.7,66780.3,99243.0,125890.0,136506.0,125743.0,102789.0,70268.5,39541.4,20290.5
13558.0,25917.8,46602.8,72295.0,89304.8,96587.3,89870.8,71093.6,47733.4,26689.2,14653.0
9273.76,16491.8,29224.9,43335.7,56636.6,61076.3,57347.9,44978.7,29981.6,16290.7,9500.8
23270.4,47474.3,88610.7,128874.0,162580.0,176214.0,165053.0,133156.0,88498.8,48297.2,24851.0
41007.0,86128.5,156594.0,230020.0,287796.0,305403.0,287815.0,234839.0,160564.0,90551.6,43685.1
48365.9,104599.0,205400.0,317106.0,409440.0,451946.0,414041.0,323840.0,212686.0,110600.0,52707.6
39711.7,87167.6,183454.0,304989.0,408004.0,457607.0,412290.0,311587.0,188186.0,92879.5,42969.5
36440.9,79086.0,168442.0,289239.0,398915.0,443835.0,400440.0,294602.0,176759.0,85031.9,39051.0
34555.3,75784.4,151812.0,242318.0,317455.0,347607.0,324630.0,248933.0,158127.0,81963.8,37343.8
72916.2,171118.0,356994.0,578432.0,754432.0,831722.0,770522.0,586194.0,366198.0,182580.0,77523.5
73085.6,176362.0,385863.0,670318.0,919907.0,1025530.0,926402.0,685832.0,400235.0,187787.0,80406.8
89841.7,215026.0,478023.0,829793.0,1139120.0,1276470.0,1150190.0,851443.0,500976.0,231965.0,97549.2
114881.0,286727.0,610576.0,1016080.0,1355730.0,1503430.0,1370600.0,1042640.0,636441.0,304689.0,125497.0
156356.0,404264.0,927534.0,1637170.0,2251720.0,2507020.0,2289690.0,1686350.0,969273.0,434799.0,171435.0
164030.0,432067.0,967093.0,1633810.0,2176770.0,2413990.0,2227690.0,1681870.0,999145.0,458329.0,177524.0
277742.0,768877.0,1764510.0,3015170.0,4062620.0,4489350.0,4137590.0,3117840.0,1842810.0,821240.0,304865.0
307963.0,866973.0,2028420.0,3555250.0,4809230.0,5318480.0,4896730.0,3653640.0,2142190.0,938501.0,338974.0
359175.0,1026270.0,2366820.0,4033250.0,5328210.0,5832950.0,5371150.0,4128970.0,2477530.0,1106370.0,394525.0
536836.0,1554230.0,3535280.0,5888300.0,7660830.0,8369330.0,7766350.0,6023140.0,3699920.0,1671780.0,588374.0
569234.0,1682690.0,3881220.0,6452830.0,8408760.0,9160460.0,8521470.0,6633520.0,4072000.0,1820000.0,627075.0
600631.0,1757580.0,3916250.0,6361530.0,8138490.0,8835190.0,8249150.0,6498430.0,4103800.0,1895180.0,669942.0
877350.0,2585090.0,5668520.0,8960590.0,11215000.0,11997600.0,11308100.0,9162880.0,5944800.0,2794810.0,970047.0
944142.0,2781750.0,5927510.0,9150110.0,11270900.0,12002200.0,11367400.0,9373050.0,6231140.0,2983410.0,1039480.0
1256980.0,3705470.0,7689910.0,11400200.0,13676500.0,14398600.0,13785300.0,11671600.0,8035540.0,3987540.0,1391710.0
1523770.0,4364190.0,8680120.0,12422000.0,14543900.0,15218000.0,14665300.0,12653800.0,8994580.0,4663700.0,1673580.0
1364690.0,3865990.0,7526990.0,10674400.0,12464200.0,13019200.0,12531600.0,10841700.0,7830550.0,4111850.0,1507360.0
829236.0,2238830.0,4218600.0,5892720.0,6869220.0,7208420.0,6935130.0,5972460.0,4370630.0,2388140.0,906090.0
701444.0,1886910.0,3462230.0,4716130.0,5414680.0,5629640.0,5453680.0,4773910.0,3550870.0,1980890.0,766237.0
518334.0,1335410.0,2394470.0,3193940.0,3651140.0,3786560.0,3665320.0,3241080.0,2456790.0,1408680.0,564644.0
344403.0,850936.0,1450200.0,1846940.0,2050230.0,2099660.0,2050860.0,1856130.0,1475790.0,893077.0,369527.0
514325.0,1331120.0,2289180.0,2949700.0,3262520.0,3343440.0,3267120.0,2974050.0,2357730.0,1398320.0,561138.0
618054.0,1602710.0,2815190.0,3715300.0,4187880.0,4342960.0,4215370.0,3766520.0,2902440.0,1684780.0,678935.0
399901.0,998209.0,1681540.0,2132010.0,2343980.0,2415070.0,2367500.0,2155170.0,1719620.0,1040540.0,429114.0
320483.0,775677.0,1272010.0,1563870.0,1677880.0,1704320.0,1680190.0,1556680.0,1287530.0,808829.0,347695.0
